agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Adaptive,1,8.009694680476251,86.12309673037868,1,62,209.00316736579632,0.9106172230815153,0.8239637912888019,S0000_0
Conservative,2,8.613745775225802,88.49130003742613,0,62,203.40982664269998,0.95,0.8861663494895474,S0000_0
Opportunist,3,5.0,89.23164877160009,0,62,201.7221495713177,0.9171438431168296,0.8982884410837689,S0000_0
Balanced,4,5.0,89.49932989889349,0,62,201.11882424521414,0.9,0.7872086270593154,S0000_0
Aggressive,5,5.0,92.5750663172843,0,62,194.4368037318845,0.85,0.8398262515778465,S0000_0
Risk_Taker,6,5.0,94.36151435900297,0,62,190.7557347110616,0.8037777004071572,0.7615462191062642,S0000_0
Defensive,7,5.0,95.30419619832855,0,62,188.86891362623635,0.8225034566833158,0.9439298009672313,S0000_0
Opportunist,1,5.0,97.26797831781124,1,63,185.0557635852901,0.8175883467290744,0.6526667780584086,S0001_0
Conservative,2,13.752780914119112,97.28991033527927,0,63,185.01404655393992,0.95,0.639936434213546,S0001_0
Balanced,3,7.3538051099040675,98.88680762363545,0,63,182.02630292716344,0.9,0.9331820267266265,S0001_0
Risk_Taker,4,5.0,101.83981455684629,0,63,176.74816159403474,0.9066280909423097,0.8690996198767603,S0001_0
Defensive,5,5.0,100.57424220982188,0,63,178.97226570643906,0.8138583908608633,0.6706282617814366,S0001_0
Aggressive,6,5.0,100.96814015824052,0,63,178.27405725994183,0.85,0.8177659120607095,S0001_0
Adaptive,7,11.240886877558914,102.81251288906158,0,63,175.07596589359363,0.9016904716505408,0.7125674203881737,S0001_0
Adaptive,1,6.155942914927574,85.6415938117233,1,55,210.178246327032,0.8530311982655668,0.6197729432708724,S0002_0
Defensive,2,5.0,87.13285895479046,0,55,206.58107877924027,0.9390283017403699,0.9008473821554324,S0002_0
Conservative,3,11.52696422478017,87.88581876334405,0,55,204.81119995558998,0.95,0.9149164491918519,S0002_0
Balanced,4,5.0,89.28249864120599,0,55,201.60726092955213,0.9,0.8825340818718196,S0002_0
Aggressive,5,5.0,90.46832347143373,0,55,198.964668618886,0.85,0.7537318610197185,S0002_0
Risk_Taker,6,5.0,93.15623895211728,0,55,193.22377333473156,0.8009665244870611,0.7204506947675806,S0002_0
Opportunist,7,5.0,92.7623640676331,0,55,194.0442137381944,0.8856783393163109,0.9308380715106962,S0002_0
