agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Opportunist,1,11.374420592311536,86.23263854860454,1,50,208.73766943654869,0.8890346193333111,0.8604593835740162,S0000_0
Defensive,2,5.0,87.20035438949654,0,50,206.42117943236406,0.9284996128815742,0.8422893101707833,S0000_0
Conservative,3,5.0,87.80895971489339,0,50,204.9904708863895,0.95,0.6976964304477183,S0000_0
Balanced,4,5.0,89.1195712063059,0,50,201.97583714054448,0.9,0.9922451564164577,S0000_0
Aggressive,5,5.0,91.68116220440274,0,50,196.33258967495505,0.85,0.7442637123441983,S0000_0
Risk_Taker,6,5.0,92.39434658489392,0,50,194.8171145240062,0.8324266876812182,0.7659165053353068,S0000_0
Adaptive,7,7.4479522972745,93.83569718005873,0,50,191.82465246099568,0.9192656065600174,0.7878187417037642,S0000_0
Adaptive,1,5.0,86.04443158639677,1,65,209.1942461369658,0.8232998001903814,0.725032280868907,S0001_0
Conservative,2,14.527752641042957,88.13938980989374,0,65,204.2219720243568,0.95,0.847541356258778,S0001_0
Balanced,3,5.0,89.31362568774729,0,65,201.53699798203772,0.9,0.6822751159146158,S0001_0
Aggressive,4,5.0,91.47848762970585,0,65,196.7675730808087,0.85,0.6825047507407183,S0001_0
Opportunist,5,5.0,92.31486467171226,0,65,194.98484955820643,0.8418914756609781,0.8395974516210557,S0001_0
Risk_Taker,6,5.0,94.07835195382413,0,65,191.32988223300111,0.9089126789584712,0.8505568021235252,S0001_0
Defensive,7,5.0,93.62280708453599,0,65,192.26084498563517,0.9245603141326717,0.8608217943707847,S0001_0
Conservative,1,5.0,88.43962991773942,1,55,203.52866714551365,0.95,0.7345287320355921,S0002_0
Balanced,2,5.0,89.63806053210801,0,55,200.8075575614721,0.9,0.7102154015051393,S0002_0
Adaptive,3,13.00739809608099,89.70802307696935,0,55,200.65094940901804,0.8244570347644907,0.6044427146706642,S0002_0
Defensive,4,5.0,91.93915659880827,0,55,195.78165240895106,0.875310578464967,0.9113317513075301,S0002_0
Aggressive,5,5.0,90.90615414531163,0,55,198.00639647814566,0.85,0.6938155056542379,S0002_0
Risk_Taker,6,6.413166951709417,93.10515981344537,0,55,193.32977931692042,0.9208900732472762,0.8640279818580281,S0002_0
Opportunist,7,5.0,92.91647400577345,0,55,193.72237477373014,0.949874318582575,0.847864946550038,S0002_0
Adaptive,1,5.0,86.61134046267553,1,65,207.82497885201255,0.8787355188966964,0.7267843535143035,S0003_0
Conservative,2,10.749270519753345,88.5062822716246,0,65,203.3753936783633,0.95,0.7730408667706113,S0003_0
Opportunist,3,5.0,88.04045010879464,0,65,204.4514763129536,0.8478135138542922,0.7445082370704293,S0003_0
Risk_Taker,4,12.425219710604917,89.13385911209602,0,65,201.94346098448338,0.8732785941564399,0.7456245218916678,S0003_0
Balanced,5,5.0,89.14939687747392,0,65,201.90826444669085,0.9,0.6227751620206382,S0003_0
Aggressive,6,5.0,91.85470684564622,0,65,195.96165093910125,0.85,0.6935616719736596,S0003_0
Defensive,7,6.9896857996664,94.18652757102915,0,65,191.110135007638,0.8065744152734131,0.8534357203395784,S0003_0
Adaptive,1,8.5236388033195,88.80756664793786,1,53,202.68543187719428,0.8827257641953893,0.6865137374944108,S0004_0
Conservative,2,16.175153649078993,87.81362568347787,0,53,204.97957873736559,0.95,0.8561298006399986,S0004_0
Balanced,3,5.0,89.28329347192253,0,53,201.60546615208108,0.9,0.8023864906623689,S0004_0
Opportunist,4,5.0,89.31389702726968,0,53,201.53638570383023,0.9119160213313158,0.6523893265186551,S0004_0
Aggressive,5,5.0,92.29347942617748,0,53,195.0300293359035,0.85,0.9058765570120391,S0004_0
