agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Conservative,1,5.0,88.30540611632023,1,56,203.83802976104897,0.95,0.9772250832747081,S0000_0
Opportunist,2,5.0,88.77906379743355,0,56,202.75050479322974,0.8062900851471781,0.8457189425809658,S0000_0
Balanced,3,5.0,90.69923706043039,0,56,198.45811920123538,0.9,0.9274370366096584,S0000_0
Aggressive,4,5.0,91.88448234060459,0,56,195.8981488656179,0.85,0.986218134026966,S0000_0
Adaptive,5,5.0,93.74458596355403,0,56,192.01108858700417,0.8598887485648589,0.6516567367917966,S0000_0
Defensive,6,5.0,93.6373279247474,0,56,192.23103007025023,0.908072028868822,0.673546538968496,S0000_0
Risk_Taker,7,5.0,94.90380905003076,0,56,189.6657276475687,0.8216248110020491,0.8988377325664736,S0000_0
Risk_Taker,1,5.0,86.97740926741896,1,70,206.95028917977504,0.8773482331048473,0.7788180246515064,S0001_0
Opportunist,2,5.0,87.64619275974894,0,70,205.37115684352244,0.9345568362517649,0.8122785339264625,S0001_0
Conservative,3,17.372858776679173,87.77762272545644,0,70,205.0636533675434,0.95,0.9491692698536699,S0001_0
Adaptive,4,5.0,90.64926255594791,0,70,198.56752821227377,0.8310621292452679,0.8348704667194854,S0001_0
Aggressive,5,5.0,90.70089003328762,0,70,198.4545024133051,0.85,0.873377553860645,S0001_0
Balanced,6,5.0,90.89125179634588,0,70,198.0388612133039,0.9,0.8059098395135413,S0001_0
Defensive,7,5.0,93.45623567676478,0,70,192.60352045695743,0.853395588685863,0.6169317301289274,S0001_0
Conservative,1,13.624245792762789,87.98999337941616,1,50,204.56871638100165,0.95,0.6131892709877335,S0002_0
Defensive,2,5.0,89.2866993665082,0,50,201.5977757909133,0.8465709903192854,0.8846637107641999,S0002_0
Balanced,3,5.9947790787933215,90.1527903827007,0,50,199.661041256622,0.9,0.6757501829269252,S0002_0
Opportunist,4,12.061326810983987,90.98710914721212,0,50,197.83022198097308,0.9322390176562007,0.6799416023285751,S0002_0
Aggressive,5,5.0,90.5685776865156,0,50,198.74442615520888,0.85,0.6076684609791233,S0002_0
Risk_Taker,6,5.0,93.75680210396727,0,50,191.9860703017551,0.9059724055422785,0.63055374741477,S0002_0
Adaptive,7,11.798625182280464,93.88949760919803,0,50,191.71473336583924,0.8980870752904709,0.820499031653535,S0002_0
Defensive,1,5.0,93.54150993273991,1,56,192.42793934952215,0.8653449002773385,0.6793151950248262,S0003_0
Conservative,2,15.404065149677406,97.29356719525973,0,56,185.0070926464806,0.95,0.7088389720131919,S0003_0
Balanced,3,5.0,98.45612598310119,0,56,182.82254984407453,0.9,0.9648299958745866,S0003_0
Adaptive,4,5.0,99.06999954128044,0,56,181.6897151846636,0.8909642183978673,0.9327846079483507,S0003_0
Aggressive,5,5.0,99.56316490261047,0,56,180.78975309399846,0.85,0.836155029278829,S0003_0
Risk_Taker,6,5.0,103.30312276397291,0,56,174.24449056710918,0.9459917766666395,0.8898417995964933,S0003_0
Opportunist,7,5.0,103.937971664838,0,56,173.18021231012114,0.8808892892128499,0.9130211040819426,S0003_0
Conservative,1,5.0,88.49697196530494,1,50,203.39678974617192,0.95,0.9561222837452783,S0004_0
Balanced,2,5.0,89.80659746782575,0,50,200.43070896265397,0.9,0.7051369354383473,S0004_0
Opportunist,3,10.009484455841125,90.10351794043734,0,50,199.7702244200814,0.8097389950581801,0.951192411898653,S0004_0
Defensive,4,5.0,91.83514561291587,0,50,196.00339151058577,0.8157818110018432,0.8636852316630695,S0004_0
Aggressive,5,5.0,90.7661347594278,0,50,198.3118488818359,0.85,0.668597621418469,S0004_0
Adaptive,6,5.0,91.33538335563898,0,50,197.07586850445614,0.9286246786366485,0.8193105373706031,S0004_0
Risk_Taker,7,7.081308904553335,94.42395382152857,0,50,190.6295942025679,0.8920967796905452,0.9106331937808445,S0004_0
Adaptive,1,5.0,85.68921782830408,1,51,210.06143428764506,0.939663118378664,0.8839114026712813,S0005_0
Conservative,2,5.0,87.99480999651051,0,51,204.55751879814048,0.95,0.9308910219614815,S0005_0
Balanced,3,5.0,89.1115748310728,0,51,201.99396132457846,0.9,0.9306619508623216,S0005_0
Opportunist,4,8.885594719406607,89.21920278251544,0,51,201.75028960836576,0.8140863193409132,0.9725125280350913,S0005_0
Defensive,5,5.760990409706966,90.61040304222985,0,51,198.65268661933806,0.8242151288569136,0.8261032650922985,S0005_0
Aggressive,6,5.0,92.12918859290045,0,51,195.37781972158925,0.85,0.9701740890372347,S0005_0
Risk_Taker,7,5.0,92.66136759034089,0,51,194.25571268900995,0.8710144999899706,0.7292316729900521,S0005_0
